"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000162645",-5359.70336809881,7017.82410797241,-3.10221461401837,0.00303877708683259,0.0396855846492873,-3.40362982211356,"GBP2","Down"
"ENSG00000081059",-5288.96145173415,6603.38586761374,-3.13002730152055,0.0028054006376704,0.0376576476745394,-3.38188650424766,"TCF7","Down"
"ENSG00000117289",-5174.12154326674,6128.03689741844,-5.10668576271721,4.29175719775898e-06,0.000533934097288526,-1.70593842945248,NA,"Down"
"ENSG00000108518",5125.81894423855,11694.1658944895,4.65087506450201,2.14019932700385e-05,0.00153620566960437,-2.10176074106424,"PFN1","Up"
"ENSG00000149311",-4772.69280249556,5314.17909544271,-5.75029440145137,4.14223721655072e-07,0.000109716779006272,-1.15590349418577,"ATM","Down"
"ENSG00000134352",-4769.21554291274,5936.91030542226,-4.3309622470918,6.39977399255568e-05,0.00331452918822331,-2.37961918710873,"IL6ST","Down"
"ENSG00000086758",4746.21030332209,8098.60243880784,4.44413455251157,4.35881299688204e-05,0.00254570923041502,-2.28147533736843,"HUWE1","Up"
"ENSG00000135047",4705.38347566119,2741.81600111763,5.6969736096199,5.03956445481317e-07,0.000123083180697684,-1.20083707370966,"CTSL","Up"
"ENSG00000102879",4610.1502640981,7625.20408796585,3.51187254348764,0.000901170032456961,0.0179717960025298,-3.07481567607993,"CORO1A","Up"
"ENSG00000054654",-4308.16316318977,2456.08929069284,-4.74361557356782,1.54965522538993e-05,0.00124541949438816,-2.02108367630292,"SYNE2","Down"
"ENSG00000111913",-4117.71263135672,5271.75443405676,-4.30554653546161,6.97244502282664e-05,0.00350519163842334,-2.40162383894587,"RIPOR2","Down"
"ENSG00000138795",-4005.16733900213,6115.5018596215,-4.23520621693883,8.82928196212637e-05,0.00403998726471408,-2.46243886832709,"LEF1","Down"
"ENSG00000077809",3797.95319082657,4517.85054518405,8.0790050380524,6.81662660431236e-11,1.83133542743855e-07,0.62297772905046,NA,"Up"
"ENSG00000115165",3648.39980788219,7285.17067684578,4.43691595288403,4.46742983376618e-05,0.00259303967450021,-2.28774206727579,"CYTIP","Up"
"ENSG00000179218",3607.1393420065,6938.74318202566,3.97576605102199,0.000207875318381214,0.00704378961707588,-2.68530922023188,"CALR","Up"
"ENSG00000063046",-3563.2951314665,15287.7089826368,-3.07053615706873,0.00332670958131532,0.0421522853809027,-3.42827964163368,"EIF4B","Down"
"ENSG00000161960",3552.06074388231,8854.59468631983,3.28745685333868,0.0017715795239968,0.028451173807245,-3.25711864188944,"EIF4A1","Up"
"ENSG00000075340",3537.72480577256,1253.34388978346,6.98599682213035,4.11701387070168e-09,4.07497699223241e-06,-0.162148807614446,"ADD2","Up"
"ENSG00000172757",3480.52117478695,8794.81087007319,3.89977716856598,0.000265900540295352,0.00806536380773289,-2.75003211677501,"CFL1","Up"
"ENSG00000082074",-3444.82953809937,4261.19712175712,-3.78017460621436,0.000389973037427603,0.0104769042026621,-2.85125749650563,"FYB1","Down"
"ENSG00000023445",-3379.24882614953,3956.76513837734,-5.01280233631059,5.99859195865978e-06,0.00065207815245408,-1.78724025431335,"BIRC3","Down"
"ENSG00000196531",-3351.06658142882,11814.9637789923,-4.1812217156502,0.000105716329892128,0.00455986536686093,-2.5090167071445,"NACA","Down"
"ENSG00000137642",-3297.19089383947,5714.05519342331,-3.53425898264567,0.00084134022805113,0.0173171204908972,-3.05637648864252,"SORL1","Down"
"ENSG00000079246",3275.42768248859,8723.51602552041,3.54168062746105,0.000822354715963599,0.0171538043133812,-3.05025411108128,"XRCC5","Up"
"ENSG00000213626",-3211.1019948209,3915.21675572314,-3.27562724451066,0.00183462331829981,0.0290664921010499,-3.26658943527143,"LBH","Down"
"ENSG00000114867",3144.36553929467,6377.23310726967,4.91907803547952,8.36359372696407e-06,0.000841100233311691,-1.86856279665173,"EIF4G1","Up"
"ENSG00000185811",-3105.05686395054,8653.03695892781,-3.22242636198107,0.00214523643790127,0.0318416073016348,-3.30899519663458,"IKZF1","Down"
"ENSG00000071082",-3028.60878382615,12034.4166206939,-3.47600824332645,0.00100554215528837,0.0193356091741851,-3.10426607300496,"RPL31","Down"
"ENSG00000136156",-3013.2935830359,4751.7182098096,-3.28763189492143,0.00177066221745052,0.028451173807245,-3.25697839201194,"ITM2B","Down"
"ENSG00000158985",-2991.47387075479,6200.99044598209,-3.40914877477393,0.00123153033794427,0.0223553663468918,-3.1588595949439,"CDC42SE2","Down"
"ENSG00000065978",2980.29794940278,9289.57582463809,3.37866160146885,0.00134987535682228,0.0239529617186961,-3.18361437892503,"YBX1","Up"
"ENSG00000146112",2892.8889841656,4520.89558345772,3.53551495050634,0.000838098207060619,0.0173171204908972,-3.05534072067888,"PPP1R18","Up"
"ENSG00000138623",2795.96031254762,1358.01819180466,3.18769480450513,0.00237406435953565,0.0339260291378627,-3.33650970046576,"SEMA7A","Up"
"ENSG00000117602",-2790.48578461875,4065.03370569206,-4.26295349000352,8.0456223827452e-05,0.00384833448805553,-2.43846487080161,"RCAN3","Down"
"ENSG00000013725",2727.04548464924,4643.01515790079,4.02274888059579,0.000178332009316613,0.00632775805133628,-2.64515083817893,"CD6","Up"
"ENSG00000115306",-2720.424819698,3340.27179630858,-5.3757295867859,1.62844201981213e-06,0.000288910194571574,-1.4741908889256,"SPTBN1","Down"
"ENSG00000118058",-2668.85663893142,3259.72378130642,-5.63146918965063,6.40897188247138e-07,0.000143484672883044,-1.25622075708074,"KMT2A","Down"
"ENSG00000131236",2666.22897213364,7282.58551520067,2.98392076946228,0.00424957378560268,0.0495458677074048,-3.49502530917128,"CAP1","Up"
"ENSG00000133639",-2642.53339474597,7101.48036216724,-3.3250455164127,0.00158456742669821,0.026636345954625,-3.22692764096869,"BTG1","Down"
"ENSG00000116824",2626.32435381394,4705.41865193365,5.02404951402198,5.76330216503505e-06,0.000638039874471039,-1.77749114157914,"CD2","Up"
"ENSG00000109475",-2524.4700368074,7961.24325008466,-3.34270903018744,0.00150328528292723,0.0257240973891988,-3.21269016466109,"RPL34","Down"
"ENSG00000171314",2461.95813514359,4828.86484886203,3.32788948135485,0.001571205405558,0.0265005281228016,-3.22463743937126,"PGAM1","Up"
"ENSG00000139644",2455.64191036012,9766.2143236215,3.3546919863968,0.0014504074111408,0.0251660114242229,-3.20301350487171,"TMBIM6","Up"
"ENSG00000104408",-2401.68608710108,7865.93058536927,-3.17643981756681,0.00245301524259543,0.0345553592900746,-3.34539643526179,"EIF3E","Down"
"ENSG00000170989",2328.2626876634,3890.30854817167,3.20131843493117,0.00228169550354058,0.0331860523121301,-3.32573328813717,"S1PR1","Up"
"ENSG00000132507",2297.32175527791,4788.02734172999,3.16416863941706,0.00254190414940869,0.0352868874871768,-3.35506881526853,"EIF5A","Up"
"ENSG00000108669",-2271.13926000132,3577.45597833882,-7.47202968118343,6.62380938960332e-10,8.89766852720572e-07,0.19879452861514,"CYTH1","Down"
"ENSG00000162894",-2201.65517047845,2879.03541982065,-3.24222018773959,0.00202428969081588,0.0306759000205346,-3.29325395822804,"FCMR","Down"
"ENSG00000145779",2187.65116435046,3979.99726151054,4.0986649031316,0.000138970517025292,0.00540512645699043,-2.58005749195279,"TNFAIP8","Up"
"ENSG00000110700",-2157.28316718205,9762.15632512864,-3.33054505628326,0.00155882480205858,0.0263389570777302,-3.2224981996944,"RPS13","Down"
"ENSG00000168439",2140.43387999491,3090.15437243523,6.31395972298798,5.1168421896275e-08,2.5611538155197e-05,-0.690319561119709,"STIP1","Up"
"ENSG00000197694",-2094.69581799408,5014.85745864377,-4.6540285804799,2.11690983524507e-05,0.00153117716775457,-2.09901743719978,"SPTAN1","Down"
"ENSG00000133574",-2081.76142793525,2598.44942631089,-4.24648429216765,8.50220740844261e-05,0.00395881332580145,-2.45269708088817,"GIMAP4","Down"
"ENSG00000148700",-2065.15843233467,3146.74118722291,-3.59998852311976,0.000686776265420771,0.0154123084099081,-3.0019968386832,"ADD3","Down"
"ENSG00000143384",-2064.76646443475,5833.84123478209,-3.28578748246339,0.00178035045325758,0.0285357079649291,-3.25845604156049,"MCL1","Down"
"ENSG00000169710",2064.70250882435,2452.32978889472,3.68620505741653,0.000524747382813746,0.0127498698723454,-2.93015780744983,"FASN","Up"
"ENSG00000150753",1994.39384584941,3719.27596620885,4.00015206821421,0.000191996162244755,0.00667408470827148,-2.66447812801903,"CCT5","Up"
"ENSG00000183337",1978.13615057983,2555.78009268679,3.48473094168332,0.000979147494567833,0.0189248178652031,-3.0971137150241,"BCOR","Up"
"ENSG00000132341",1964.31005036483,5119.44922617841,4.05272982415309,0.000161645597062215,0.00601304009366866,-2.61947286230168,"RAN","Up"
"ENSG00000134109",1956.86542274213,5286.81359150415,3.53837257788919,0.000830766133935167,0.0172443575218375,-3.05298360777023,"EDEM1","Up"
"ENSG00000112851",1905.37730346112,4321.13986904256,3.15348702980415,0.00262173405705016,0.0359885625378725,-3.36347393831514,"ERBIN","Up"
"ENSG00000165280",1890.48458385604,4537.49407907147,3.83302972241659,0.000329487071343458,0.00938838464194708,-2.80662758781131,"VCP","Up"
"ENSG00000156535",1870.37765468844,1017.9461278853,4.9123250738199,8.56564300672097e-06,0.000852304139599971,-1.87442718241948,"CD109","Up"
"ENSG00000174946",1847.95258169694,1513.81744649453,3.40950190754652,0.00123021903823449,0.0223531393555921,-3.15857233879299,"GPR171","Up"
"ENSG00000146731",1828.33002719009,3606.79813018888,4.15023823733216,0.000117176373206807,0.00480091258066931,-2.53570669012497,"CCT6A","Up"
"ENSG00000143333",1815.52903693968,1298.43140511129,4.62040269213765,2.37854655621912e-05,0.0016265798740457,-2.12826794936545,"RGS16","Up"
"ENSG00000129003",-1805.60691111337,2171.68292622553,-5.20984974019043,2.96449933427739e-06,0.000416517230754887,-1.61683183975477,"VPS13C","Down"
"ENSG00000158987",-1798.23477110937,3730.93995602845,-3.96606790621364,0.00021453630978511,0.00716413329444104,-2.69358570667055,"RAPGEF6","Down"
"ENSG00000005810",-1795.34072504075,3758.58338415065,-4.53438418068913,3.20009344571749e-05,0.00199886487618384,-2.20306867556642,"MYCBP2","Down"
"ENSG00000196419",1779.74965331028,6008.21976974039,4.18642774978191,0.000103900519960887,0.0045125939454606,-2.50452893650999,"XRCC6","Up"
"ENSG00000179144",-1771.09403977114,2311.42833431026,-3.10810895417781,0.00298784786437156,0.039211072531313,-3.39902961752831,"GIMAP7","Down"
"ENSG00000183813",1753.18168378628,2230.1116002993,3.25926802643238,0.00192530329892174,0.0297512356939378,-3.27966198011005,"CCR4","Up"
"ENSG00000102096",-1748.41547689846,1594.59309859997,-3.68272440834415,0.000530511492320764,0.0128493218809192,-2.93306863391611,"PIM2","Down"
"ENSG00000108292",1743.30900507183,4361.07276458677,3.12197690687224,0.00287116217575943,0.0381590642242627,-3.38818975577374,NA,"Up"
"ENSG00000142875",-1730.6811390199,2171.14610567945,-4.1775657912138,0.000107009824800928,0.00458411563828302,-2.51216770073218,"PRKACB","Down"
"ENSG00000105281",1720.69067929037,1962.01404694428,3.04860227719286,0.00354082005239157,0.0435766739305101,-3.44527330616456,"SLC1A5","Up"
"ENSG00000140564",1717.8186515469,1683.04878033742,4.24633377500443,8.50649410111412e-05,0.00395881332580145,-2.45282711864819,"FURIN","Up"
"ENSG00000169813",1699.84415948055,5087.14396042658,3.69524143916657,0.000510061305362821,0.0125224043807859,-2.92259676764591,"HNRNPF","Up"
"ENSG00000092841",1656.69866086543,3605.58520099488,3.42196643550125,0.0011847736903867,0.0217586465052855,-3.14842550758341,"MYL6","Up"
"ENSG00000113441",-1654.72738269424,4262.95180280887,-3.1476074197505,0.00266667470558907,0.0363138917547488,-3.3680947402456,"LNPEP","Down"
"ENSG00000072110",1641.59069852618,3311.46284182349,4.27136710377423,7.82164685774649e-05,0.00379107965996857,-2.43119120889256,"ACTN1","Up"
"ENSG00000136450",1640.68046424291,4373.68824486343,3.2831604993182,0.00179423580000323,0.0286207694842808,-3.26056002495815,"SRSF1","Up"
"ENSG00000117091",-1631.48691628537,3711.76124362017,-3.34572661832365,0.00148980009631199,0.0256098543064381,-3.2102547131566,"CD48","Down"
"ENSG00000198734",1611.7743856014,1002.73614431389,3.27017526478147,0.00186438632525582,0.0293078427819665,-3.27094927185632,"F5","Up"
"ENSG00000163788",-1604.87220288214,2131.03522268959,-3.91394828664705,0.000254011089934955,0.00785679696927099,-2.73798461112405,"SNRK","Down"
"ENSG00000157106",-1577.22227207829,3519.05964216077,-3.01732926364285,0.00386844921837977,0.046312879362979,-3.46939623126218,"SMG1","Down"
