"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000100385",7000.68033491559,5725.21553128661,5.47595802417029,1.13129012580321e-06,0.00010035397219743,-1.38845598273798,"IL2RB","Up"
"ENSG00000137265",6862.99050692122,14105.0782286827,3.14757896764022,0.00266689392687559,0.0345172795518392,-3.36811709089783,"IRF4","Up"
"ENSG00000108298",-6820.53392488893,21487.3279729925,-4.33185815232237,6.38044533360583e-05,0.00213980333829402,-2.37884325099944,"RPL19","Down"
"ENSG00000118971",6712.83576390265,7754.16315491598,4.53208677607669,3.22546027690817e-05,0.00127970476724757,-2.20506572361055,"CCND2","Up"
"ENSG00000196924",6630.64696736781,10992.2525491415,3.29605114955848,0.00172706702650167,0.0252363811191844,-3.25022875370103,"FLNA","Up"
"ENSG00000144713",-6398.16488856574,18431.6789351155,-3.34508857024832,0.00149264186394613,0.0227845965043595,-3.21076974887091,"RPL32","Down"
"ENSG00000167526",-6325.59331858669,17225.0276155043,-4.16957047930022,0.000109892309716027,0.00319912504105203,-2.51905720706243,"RPL13","Down"
"ENSG00000162645",-6310.09341645624,7017.82410797241,-3.65230361979815,0.000583535506563142,0.0114385224985633,-2.95847193390548,"GBP2","Down"
"ENSG00000122566",6191.95592217519,12182.1626048176,3.5996429305193,0.000687513030586177,0.012700925582547,-3.00228366306656,"HNRNPA2B1","Up"
"ENSG00000156482",-6052.64498066363,16161.5391936214,-3.15051082970031,0.00264439291198925,0.0343679703544367,-3.36581345288566,"RPL30","Down"
"ENSG00000148303",-6040.35040997566,18849.4746914491,-3.02842289329453,0.00374911734287667,0.0445675731669651,-3.46085344852447,"RPL7A","Down"
"ENSG00000128342",6000.71863021497,2074.97609565257,8.39385734285895,2.11053044173294e-11,1.52656290335498e-08,0.831151889048842,"LIF","Up"
"ENSG00000198918",-5857.49648556059,13134.8310516471,-4.53439815959692,3.19993969489535e-05,0.00127457746114142,-2.20305652407571,"RPL39","Down"
"ENSG00000071082",-5834.07039306053,12034.4166206939,-6.69590502633544,1.2242323411106e-08,3.19762686207304e-06,-0.386191151744717,"RPL31","Down"
"ENSG00000142534",-5734.33795889597,17180.2442770363,-3.7846592658414,0.000384452692788107,0.00846704146476872,-2.84747745245826,"RPS11","Down"
"ENSG00000164587",-5719.97818628858,12105.5900392965,-3.47939463717563,0.000995215639761666,0.0168563203225856,-3.10149013042728,"RPS14","Down"
"ENSG00000198242",-5648.86030288213,15801.352824946,-3.03893495901258,0.00363922125178361,0.0435640960286713,-3.45274380063129,"RPL23A","Down"
"ENSG00000186468",-5635.87785008519,15639.8078783141,-3.79969818610463,0.000366483120624942,0.00819510293278556,-2.83479217050425,"RPS23","Down"
"ENSG00000197958",-5594.75972354542,15343.8275513634,-3.01660462693143,0.00387636605283386,0.0457047561215892,-3.46995368900145,"RPL12","Down"
"ENSG00000144381",5192.3202663631,7166.16067665923,4.93178470555581,7.99601461561812e-06,0.000438405396097127,-1.85752975241431,"HSPD1","Up"
"ENSG00000185811",-5074.96132041117,8653.03695892781,-5.26679215920076,2.41479864440748e-06,0.000175294471667183,-1.5677709161632,"IKZF1","Down"
"ENSG00000142937",-4985.32463966427,16394.4418400534,-4.66935012247148,2.00723769505222e-05,0.00088698636079684,-2.08568871650047,"RPS8","Down"
"ENSG00000173114",-4943.0610432026,4264.90571258184,-3.87457367790244,0.00028838262938885,0.00683899587425816,-2.77143180432639,"LRRN3","Down"
"ENSG00000118181",-4925.83635753179,12620.804724067,-3.75246312186761,0.000425809602461619,0.00915931828075464,-2.87458642604699,"RPS25","Down"
"ENSG00000134460",4905.05642614454,6134.06768164523,3.60193501556367,0.000682640620745538,0.0126480192253602,-3.0003811735273,"IL2RA","Up"
"ENSG00000117228",-4836.43733371884,3051.73056233985,-3.16972271850489,0.00250130341035343,0.0329870350176063,-3.3506931537377,"GBP1","Down"
"ENSG00000110321",4780.60592026899,15370.1225565076,3.09406141860006,0.00311056556718736,0.0387142925589183,-3.40998591095063,"EIF4G2","Up"
"ENSG00000008517",-4447.38458562891,4406.1174511567,-8.86963341755174,3.63608109526933e-12,4.55867607184233e-09,1.13039422089574,"IL32","Down"
"ENSG00000101347",-4388.90064361183,3414.68252268466,-5.27426913928781,2.35053109919199e-06,0.000172803223259483,-1.56133591909601,"SAMHD1","Down"
"ENSG00000196531",-4144.90582461096,11814.9637789923,-5.17171766721474,3.3997709143653e-06,0.000220969077676123,-1.64973647704206,"NACA","Down"
"ENSG00000063046",-4137.03629746782,15287.7089826368,-3.56493612395578,0.000765473510458919,0.013855144213369,-3.03104024354892,"EIF4B","Down"
"ENSG00000229117",-4126.1259641928,13636.0022488391,-3.77510498742211,0.000396305060894707,0.00865611263087789,-2.85552905418808,"RPL41","Down"
"ENSG00000145592",-3995.17045105606,12644.3970869136,-3.67199347417051,0.000548666357901891,0.0109072088020116,-2.94203732264205,"RPL37","Down"
"ENSG00000108518",3967.03978790459,11694.1658944895,3.59946510599851,0.000687892426809124,0.012700925582547,-3.00243124477604,"PFN1","Up"
"ENSG00000221963",-3950.55538269261,4026.48500323642,-3.97583663968889,0.00020782757520015,0.00523914930189548,-2.68524896253789,"APOL6","Down"
"ENSG00000135047",3916.23363886337,2741.81600111763,4.74152208956259,1.56102899752222e-05,0.000737605812246303,-2.02290469024884,"CTSL","Up"
"ENSG00000110700",-3835.2034530845,9762.15632512864,-5.92102052008137,2.20583872191569e-07,3.072815037359e-05,-1.01299295421229,"RPS13","Down"
"ENSG00000109475",-3816.90475719964,7961.24325008466,-5.05405166756987,5.17914326665277e-06,0.0003043717758521,-1.75149683055596,"RPL34","Down"
"ENSG00000171314",3640.23399520543,4828.86484886203,4.92059399767492,8.31888313512989e-06,0.000453013748106274,-1.86724639153768,"PGAM1","Up"
"ENSG00000158985",-3639.29130674577,6200.99044598209,-4.1474156337215,0.000118278266957457,0.00340634163614384,-2.53813651202629,"CDC42SE2","Down"
"ENSG00000116824",3626.13328833243,4705.41865193365,6.93664252039909,4.9562459504415e-09,1.60702002317246e-06,-0.199823473747147,"CD2","Up"
"ENSG00000114942",-3616.78008598602,9874.13534932811,-4.04910257932981,0.000163581150918777,0.0043328269354627,-2.62258157396482,"EEF1B2","Down"
"ENSG00000161960",3499.97607722854,8854.59468631983,3.23925213312389,0.00204200643792041,0.0286581888593517,-3.29561709278709,"EIF4A1","Up"
"ENSG00000054654",-3448.45987136286,2456.08929069284,-3.79701680994574,0.000369626795740682,0.00825558375379961,-2.8370549369288,"SYNE2","Down"
"ENSG00000182899",-3245.67276927359,8021.13108791128,-3.78626412866476,0.000382495493161813,0.00844273502863974,-2.84612443165587,"RPL35A","Down"
"ENSG00000116251",-3242.56914118131,9528.06831679574,-3.90953488598155,0.000257657876872942,0.00623618279597497,-2.7417377909884,"RPL22","Down"
"ENSG00000092199",3215.73114658548,10561.9510899412,3.69673135264524,0.000507677989261789,0.0103103588186363,-2.92134955354501,"HNRNPC","Up"
"ENSG00000079246",3153.76514768079,8723.51602552041,3.41012838928456,0.00122789596196041,0.01985538388704,-3.15806269758607,"XRCC5","Up"
"ENSG00000189403",3131.48709545351,5497.18017170612,4.70644613219594,1.76420903400929e-05,0.000815177275026502,-2.05341723004576,"HMGB1","Up"
"ENSG00000149311",-3127.85750375649,5314.17909544271,-3.76854372084958,0.000404646801465578,0.00878728377408968,-2.86105500325775,"ATM","Down"
"ENSG00000198755",-3014.65925275201,10738.3755899402,-4.39379351519502,5.17336030990799e-05,0.00180605193413743,-2.32516069686605,"RPL10A","Down"
"ENSG00000120875",2940.30500552476,1554.22374729751,6.40982106670115,3.57616889624305e-08,7.23155185620933e-06,-0.613057766015612,"DUSP4","Up"
"ENSG00000091527",2929.8690911261,7000.24516584071,3.52962076811772,0.00085341667687718,0.0150981693559287,-3.06020036814207,"CDV3","Up"
"ENSG00000005844",-2929.43293294329,4262.95682892267,-4.51590283586425,3.40979932326768e-05,0.00133315355661896,-2.21913238904658,"ITGAL","Down"
"ENSG00000183813",2926.79849609298,2230.1116002993,5.44109081582733,1.28436256217065e-06,0.000109789647019005,-1.41823890725048,"CCR4","Up"
"ENSG00000065978",2898.16105137472,9289.57582463809,3.28554581635523,0.0017816235679361,0.0257930814615907,-3.25864962548913,"YBX1","Up"
"ENSG00000077809",2851.09103269388,4517.85054518405,6.06484010195684,1.29417685488081e-07,1.99494179777774e-05,-0.89382817358107,NA,"Up"
"ENSG00000114867",2842.26224997978,6377.23310726967,4.44646451890716,4.32430698039571e-05,0.00157165733811667,-2.27945244156644,"EIF4G1","Up"
"ENSG00000132341",2827.33527393441,5119.44922617841,5.83330823228535,3.05036468724396e-07,3.96795600397935e-05,-1.08622643367916,"RAN","Up"
"ENSG00000063177",-2818.65464271594,8268.22427149414,-3.2169043179078,0.00218017348083882,0.0300148920063358,-3.31337888606938,"RPL18","Down"
"ENSG00000104408",-2806.90601605069,7865.93058536927,-3.71237859994981,0.000483283846351117,0.0099984994658736,-2.90824178546013,"EIF3E","Down"
"ENSG00000105193",-2767.45178580748,9096.1112348032,-3.69739680619281,0.000506616956168339,0.0103103588186363,-2.92079244855902,"RPS16","Down"
"ENSG00000108424",2744.81864469668,5866.51651571779,5.10000536236327,4.39550272010364e-06,0.000266651045658933,-1.71171743510585,"KPNB1","Up"
"ENSG00000125347",-2682.55260902282,2236.32169146887,-3.21661031409913,0.00218204853720874,0.0300187306442922,-3.31361218605635,"IRF1","Down"
"ENSG00000162244",-2604.65429392362,9439.20425493407,-3.69974216588788,0.000502894302753933,0.0103022116095757,-2.91882871028126,"RPL29","Down"
"ENSG00000146731",2561.69846789482,3606.79813018888,5.81495614897919,3.26406814704684e-07,4.03842536666862e-05,-1.10160010648338,"CCT6A","Up"
"ENSG00000150753",2534.88068331289,3719.27596620885,5.08420552396548,4.65079255953712e-06,0.000277659698014778,-1.72538932965725,"CCT5","Up"
"ENSG00000168214",2478.24276585884,2821.53285994824,3.08589138385666,0.0031840935653633,0.0393215504759029,-3.41634690000733,"RBPJ","Up"
"ENSG00000143549",2441.35015803187,7481.85630570819,3.15372760494276,0.00261991046255582,0.0342042120173979,-3.36328478271211,"TPM3","Up"
"ENSG00000105373",-2362.40141260583,4980.98773632827,-3.36917858722398,0.00138883249923677,0.0215854413063196,-3.19129595831306,"NOP53","Down"
"ENSG00000164308",-2356.21117886062,2718.44757673627,-4.49144180021014,3.70807494023879e-05,0.00140092588063699,-2.24038809168239,"ERAP2","Down"
